175	13.12
200	13.53
225	13.83
250	14.05
275	14.20
300	14.31
325	14.38
350	14.43
375	14.46
400	14.48
450	14.50
500	14.51
550	14.53
600	14.55
650	14.57
700	14.60
750	14.65
800	14.71
850	14.77
900	14.83
950	14.90
1000	14.98
1050	15.06
1100	15.15
1150	15.25
1200	15.34
1250	15.44
1300	15.54
1350	15.65
1400	15.77
1500	16.02
1600	16.23
1700	16.44
1800	16.64
1900	16.83
2000	17.01
2100	17.18
2200	17.35
2300	17.50
2400	17.65
2500	17.80
2600	17.93
2700	18.06
2800	18.17
2900	18.28
3000	18.39
3500	18.91
4000	19.39
4500	19.83
5000	20.23
5500	20.61
6000	20.96
